Word,Translation,,
Arbeit,work,,
Stadt,"city, town",,
Welt,world,,
Schule,school,,
Mutter,mother,,
Geschichte,"history, story",,
Stelle,place,,
Mark,mark (former unit of German currency),,
Familie,family,,
"Universität, Uni",university,,
Straße,street,,
Gruppe,group,,
Sprache,language,,
Folge,"result, consequence",,
"Milliarde, Mrd.",billion,,
Rolle,roll,,
Tür,door,,
Bedeutung,"meaning, significance",,
Weise,"way, manner",,
Regierung,"rule, government",,
"Abbildung, Abb.",illustration,,
Funktion,function,,
Kunst,art,,
Musik,music,,
Politik,politics,,
Partei,(political) party,,
Tochter,daughter,,
Entscheidung,decision,,
Firma,"firm, company",,
Kraft,"strength, power",,
Grenze,"border, frontier",,
Kultur,culture,,
Lage,"situation, location",,
Lösung,solution,,
Höhe,"height, altitude",,
Idee,idea,,
Natur,nature,,
Wirtschaft,"economy, commerce",,
Angabe,"information, statement",,
Verfügung,disposal,,
Maßnahme,measure,,
Mitte,middle,,
Reihe,"row, line",,
Schwester,sister,,
Erde,"earth, ground, soil",,
Ebene,"plane, level",,
Einheit,"unity, unit",,
Struktur,structure,,
Bedingung,"condition, stipulation",,
Wahl,"choice, election",,
Wirkung,effect,,
Macht,"power, strength",,
Untersuchung,"examination, investigation",,
Veränderung,change,,
Methode,method,,
Organisation,organization,,
Liebe,love,,
Rede,"speech, talk",,
Forderung,"demand, claim",,
Technik,"technology, technique",,
Schwierigkeit,difficulty,,
Tätigkeit,activity,,
Voraussetzung,"condition, requirement",,
Reaktion,reaction,,
Literatur,literature,,
Zelle,cell,,
Bibliothek,library,,
Farbe,colour,,
Kenntnis,knowledge,,
Sekunde,second,,
Sonne,sun,,
Wissenschaft,science,,
Küche,"kitchen, cuisine",,
Wirklichkeit,reality,,
Grundlage,basis,,
Hälfte,half,,
Freude,joy,,
Gemeinde,"community, municipality",,
Bundesrepublik,Federal Republic,,
Haut,skin,,
Praxis,"practice, doctor’s office",,
Sicht,"view, visibility",,
Theorie,theory,,
Maschine,machine,,
Produktion,production,,
Tatsache,fact,,
Öffentlichkeit,public,,
Erklärung,explanation,,
Behandlung,treatment,,
Einrichtung,"institution, furnishings",,
Hochschule,"college, university",,
Studie,study,,
Analyse,analysis,,
Spur,"track, lane",,
Erkenntnis,"realization, discovery",,
Freiheit,freedom,,
Freizeit,spare time,,
Kritik,"criticism, review",,
GmbH,"limited liability company, Ltd",,
Kontrolle,inspection,,
Aufnahme,"reception, recording, snapshot",,
Fähigkeit,"ability, capability",,
Karte,"card, ticket, menu",,
Verantwortung,responsibility,,
Wahrheit,truth,,
Regelung,"regulation, settlement",,
Ausstellung,exhibition,,
Bitte,request,,
Hoffnung,hope,,
Einstellung,"attitude, employment",,
Tat,deed,,
Union,union,,
Geographie,geography,,
Qualität,quality,,
"Aktiengesellschaft, AG","incorporated company, inc.",,
Ursache,cause,,
Anzahl,number,,
Störung,"disturbance, interruption",,
Bildung,education,,
Eigenschaft,quality,,
Generation,generation,,
Anlage,"(sports) complex, investment, attachment",,
Behörde,"department, authorities",,
Bühne,stage,,
Dame,lady,,
Kommunikation,communication,,
Mama,mamma,,
Nutzung,use,,
Zusammenarbeit,cooperation,,
Ansicht,"opinion, view",,
Auseinandersetzung,"argument, quarrel",,
Bahn,"train, railway, way",,
Masse,"mass, crowd",,
Veranstaltung,event,,
Änderung,change,,
Ausnahme,exception,,
Leitung,"management, leadership, pipe",,
Mehrheit,majority,,
Aktivität,activity,,
Mannschaft,"crew, team",,
Runde,round,,
Gestalt,"shape, form, figure",,
Stellung,"position, standing",,
Branche,"sector, line of business",,
Figur,figure,,
,,,
,,,
,,,
Industrie,industry,,
Darstellung,"presentation, description",,
Katze,cat,,
Strecke,"distance, route",,
Szene,scene,,
Dauer,length (of time),,
Konsequenz,consequence,,
Nase,nose,,
Aktie,share,,
Aktion,"action, campaign",,
Ausgabe,"distribution, edition, expenses",,
Geschwindigkeit,speed,,
Medizin,medicine,,
Stufe,"step, level",,
Anforderung,"request, demand",,
Belastung,"load, strain",,
Messe,"(trade) fair, mass",,
Vorschrift,"instruction, regulation",,
Kommission,"commission, committee",,
Jugend,youth,,
Schuld,guilt,,
Stimmung,"mood, atmosphere",,
Tasche,"pocket, bag",,
Welle,wave,,
Auswirkung,effect,,
Haltung,"posture, attitude",,
Tante,aunt,,
Temperatur,temperature,,
Waffe,weapon,,
Ware,goods,,
Brust,"breast, chest",,
Einführung,introduction,,
Förderung,"support, sponsorship",,
Koalition,coalition,,
Länge,length,,
Quelle,"source, spring",,
Summe,sum,,
Verwendung,use,,
Bundesregierung,federal government,,
Krise,crisis,,
Landwirtschaft,agriculture,,
Perspektive,"perspective, prospects",,
Realität,reality,,
Suche,search,,
Bestimmung,"regulation, purpose, fate",,
Botschaft,message,,
Formel,formula,,
Mühe,"effort, trouble",,
Nachfrage,demand,,
Pflicht,duty,,
Debatte,debate,,
Hinsicht,respect,,
Verwaltung,administration,,
Weile,while,,
Adresse,address,,
Heimat,"home, homeland",,
Konkurrenz,competition,,
Mathematik,mathematics,,
Schicht,"layer, class",,
Verhandlung,negotiation,,
Gemeinschaft,community,,
Gewerkschaft,trade union,,
Platte,"disk, record, plate",,
Investition,investment,,
Planung,"planning, plan",,
Stärke,strength,,
Steuer,tax,,
Therapie,therapy,,
Überlegung,"thought, thinking",,
Armee,army,,
Atmosphäre,atmosphere,,
Beschreibung,description,,
Einnahme,"income, receipts, revenue",,
Erkrankung,"illness, disease",,
Fläche,"area, surface",,
Physik,physics,,
Post,"mail, post office",,
Saison,season,,
Stirn,forehead,,
Strategie,strategy,,
Demokratie,democracy,,
